EMP_ID,DATE,LSA
177359,10-08-2023,1
177359,22-01-2024,1
177359,22-03-2024,1
177359,11-04-2024,1
177359,12-04-2024,1
177359,13-04-2024,1
214423,28-12-2023,1
214423,30-12-2023,1
214423,07-01-2024,1
214423,14-01-2024,1
214423,22-01-2024,1
214423,23-01-2024,1
214423,24-01-2024,1
214423,26-01-2024,1
214423,08-02-2024,1
214423,04-03-2024,1
214423,11-04-2024,1
215437,01-12-2023,1
215437,16-12-2023,1
215437,22-12-2023,1
215437,29-12-2023,1
215437,30-12-2023,1
215437,31-12-2023,1
215437,02-01-2024,1
215437,03-01-2024,1
215437,04-01-2024,1
215437,26-01-2024,1
215437,28-02-2024,1
215437,09-03-2024,1
215437,10-03-2024,1
215437,10-04-2024,1
215437,11-04-2024,1
215437,19-04-2024,1
235745,28-09-2023,1
235745,30-11-2023,1
235745,10-12-2023,1
235745,17-12-2023,1
235745,18-12-2023,1
235745,31-12-2023,1
235745,01-01-2024,1
235745,01-01-2024,1
235745,15-01-2024,1
235745,04-02-2024,1
235745,18-02-2024,1
235745,19-02-2024,1
235745,03-03-2024,1
235745,06-03-2024,1
235745,31-03-2024,1
235745,14-04-2024,1
235745,30-04-2024,1
342844,31-05-2023,1
342844,28-09-2023,1
342844,20-12-2023,1
342844,21-12-2023,1
342844,22-12-2023,1
342844,23-12-2023,1
342844,09-01-2024,1
342844,14-01-2024,1
342844,15-01-2024,1
342844,16-01-2024,1
342844,25-02-2024,1
342844,03-03-2024,1
342864,16-01-2024,1
342864,06-02-2024,1
342864,11-02-2024,1
342864,22-02-2024,1
342864,22-03-2024,1
342864,23-03-2024,1
342864,27-03-2024,1
342864,09-04-2024,1
342912,22-01-2024,1
342914,13-03-2024,1
342914,14-03-2024,1
342914,05-04-2024,1
343208,28-09-2023,1
343208,18-11-2023,1
343208,12-12-2023,1
343208,15-12-2023,1
343208,16-01-2024,1
343208,09-02-2024,1
343208,05-04-2024,1
343208,09-04-2024,1
343276,14-12-2023,1
343276,15-12-2023,1
343276,20-12-2023,1
343276,15-01-2024,1
343276,27-01-2024,1
343276,08-02-2024,1
343276,29-02-2024,1
343276,09-03-2024,1
343276,14-03-2024,1
343276,19-03-2024,1
343276,25-03-2024,1
343276,28-03-2024,1
343276,15-04-2024,1
343276,25-04-2024,1
600032,08-06-2023,1
600032,09-06-2023,1
600032,12-06-2023,1
600032,08-08-2023,1
600032,10-08-2023,1
600032,06-09-2023,1
600032,28-09-2023,1
600032,30-09-2023,1
600032,01-10-2023,1
600032,18-11-2023,1
600032,19-11-2023,1
600032,03-12-2023,1
600032,12-12-2023,1
600032,06-01-2024,1
600032,07-01-2024,1
600032,10-01-2024,1
600032,01-02-2024,1
600032,03-02-2024,1
600032,04-02-2024,1
600032,21-02-2024,1
600032,14-03-2024,1
600032,24-03-2024,1
600032,25-03-2024,1
600032,17-04-2024,1
600032,23-04-2024,1
600032,30-04-2024,1
650135,19-12-2023,1
650135,20-12-2023,1
650135,08-01-2024,1
650135,19-02-2024,1
650135,23-02-2024,1
650135,01-03-2024,1
650135,02-03-2024,1
650135,03-03-2024,1
650135,04-03-2024,1
650135,05-03-2024,1
650135,15-03-2024,1
650135,01-04-2024,1
650135,12-04-2024,1
650135,13-04-2024,1
650261,03-06-2023,1
650261,04-06-2023,1
650261,05-06-2023,1
650261,06-06-2023,1
650261,07-06-2023,1
650261,08-06-2023,1
